actor,instrument,objective,sector,climate_amount_usd_m
European Investment Bank,equity,both,agriculture_land_use,68.1604
Norway / Ministry of Foreign Affairs,grant,both,transport,68.0544682
Australia / Australian Government,grant,adaptation,other,67.6068146
EU Institutions / European Commission,grant,both,education,66.9570594
"Italy / Ministry of Economy and Finance funds, administered by CDP",debt,both,transport,66.51525
Japan / Japanese International Co-operation Agency,debt,both,agriculture_land_use,66.246234
World Bank (IBRD/IDA),other,adaptation,finance_policy,66.0
Korea / Export-Import Bank of Korea,debt,mitigation,health,65.44
Sweden / Swedish International Development Authority,grant,both,finance_policy,65.4343956
European Investment Bank,debt,adaptation,industry_mining,65.03735505703571
Germany / Deutsche Investitions- und Entwicklungsgesellschaft mbH (German Investment and Development Company),debt,mitigation,industry_mining,64.99538600000001
Germany / Federal Ministry for Economic Cooperation and Development,debt,mitigation,other,64.892927
Korea / Export-Import Bank of Korea,debt,both,education,64.8
World Bank (IBRD/IDA),debt,adaptation,industry_mining,64.11840000000001
France / Proparco,debt,mitigation,education,63.853406
Belgium / Belgian Investment Company for Developing Countries,debt,mitigation,finance_policy,62.652907400000004
EU Institutions / European Commission,grant,mitigation,health,61.90110000000001
Asian Development Bank,debt,mitigation,water,61.84
Australia / Australian Government,grant,both,education,61.759328000000004
United States / International Development Finance Corporation,debt,mitigation,energy,61.6
Sweden / SwedFund,equity,mitigation,energy,61.425961
Germany / Federal Ministry for Economic Cooperation and Development,grant,adaptation,education,61.38012340000001
Germany / Federal Ministry for Economic Cooperation and Development,grant,adaptation,health,61.1999654
Germany / Federal Ministry for Economic Cooperation and Development,grant,mitigation,finance_policy,61.03096300000001
Denmark / Ministry of Foreign Affairs,grant,both,transport,60.9656794
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,adaptation,finance_policy,60.247421
EU Institutions / European Commission,grant,mitigation,education,59.71785560000001
Denmark / Ministry of Foreign Affairs,grant,adaptation,finance_policy,59.207429399999995
Germany / Deutsche Investitions- und Entwicklungsgesellschaft mbH (German Investment and Development Company),debt,mitigation,transport,59.0308416
Australia / Australian Government,grant,both,agriculture_land_use,58.7138718
Norway / Norwegian Agency for Development Co-operation,grant,mitigation,finance_policy,58.585075200000006
France / French Development Agency,grant,both,finance_policy,58.4555852
Germany / KfW Bankengruppe (KfW banking group),debt,both,transport,58.396616800000004
IMF Resilience and Sustainability Trust,debt,both,energy,58.328228800000005
"United Kingdom / Foreign, Commonwealth and Development Office",grant,adaptation,finance_policy,57.9334912
Sweden / SwedFund,equity,both,energy,57.6971036
Asian Development Bank,equity,mitigation,energy,57.625
Korea / Miscellaneous,grant,mitigation,energy,57.458739
United Kingdom / British International Investment,debt,mitigation,other,57.1912588
African Development Bank,other,mitigation,water,56.92087703479999
United Kingdom / British International Investment,equity,both,finance_policy,56.361715000000004
Global Environment Facility / GEF Trust Fund,grant,both,water,56.3463822
Japan / Japanese International Co-operation Agency,debt,adaptation,agriculture_land_use,56.3201572
Japan / Ministry of Foreign Affairs,grant,mitigation,energy,56.281736800000004
Denmark / Ministry of Foreign Affairs,grant,adaptation,agriculture_land_use,56.186009
Germany / Federal Ministry for Economic Cooperation and Development,grant,both,finance_policy,56.094604000000004
"United Kingdom / Foreign, Commonwealth and Development Office",grant,adaptation,water,56.0215758
France / French Development Agency,debt,mitigation,finance_policy,55.7910794
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,adaptation,other,55.7171462
France / French Development Agency,grant,both,agriculture_land_use,55.5610532
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,mitigation,other,55.4634232
Denmark / Ministry of Foreign Affairs,grant,both,finance_policy,55.1924798
Germany / Federal Ministry for Economic Cooperation and Development,grant,adaptation,energy,55.065453000000005
United States / Agency for International Development,grant,adaptation,energy,54.159973
"France / Ministry of Economy, Finance and Industry",grant,adaptation,other,54.077439
"Italy / Ministry of Environment and Energy Security, funds administered by CDP",debt,both,transport,54.077439
Germany / KfW Bankengruppe (KfW banking group),debt,adaptation,energy,54.065745
Germany / KfW Bankengruppe (KfW banking group),debt,both,buildings,54.065744
France / French Development Agency,debt,adaptation,finance_policy,54.065743999999995
United States / Agency for International Development,grant,both,other,54.0367018
Italy / Ministry of Environment and Energy Security,grant,both,energy,53.9125206
African Development Bank,other,mitigation,agriculture_land_use,53.59
European Investment Bank,equity,both,energy,53.221500000000006
Adaptation Fund,grant,adaptation,other,52.996
Denmark / Investment Fund For Developing Countries,debt,mitigation,energy,52.9663668
Switzerland / State Secretariat for Economic Affairs,grant,mitigation,energy,52.760985
Japan / Ministry of Foreign Affairs,grant,adaptation,other,52.345986
Norway / Norwegian Agency for Development Co-operation,grant,adaptation,education,52.0422506
Korea / Export-Import Bank of Korea,debt,both,energy,52.0
Korea / Export-Import Bank of Korea,debt,mitigation,buildings,51.9968
